0,20
1,12
2,1
3,21
4,0
5,1
6,0
7,3
8,0
9,1
10,0
11,2
12,1
13,0
14,0
15,2
16,12
17,1
18,1
19,0
20,1
21,0
22,0
23,0
24,4
25,0
26,0
27,0
28,45
29,0
30,0
31,0
32,18
33,1
34,0
35,0
36,0
37,0
38,0
39,0
40,12
41,0
42,0
43,0
44,27
45,0
46,2
47,4
48,13
49,11
50,0
51,0
52,0
53,0
54,0
55,2
56,2
57,0
58,1
59,1
60,3
61,1
62,6
63,24
64,11
65,13
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,1
78,4
79,35
80,11
81,13
82,0
83,4
84,0
85,1
86,0
87,3
88,1
89,0
90,0
91,1
92,0
93,0
94,1
95,29
96,11
97,6
98,0
99,2
100,0
101,0
102,0
103,12
104,0
105,0
106,0
107,0
108,0
109,0
110,5
111,28
112,17
113,4
114,0
115,1
116,0
117,1
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,26
127,15
128,10
129,2
130,0
131,6
132,0
133,0
134,1
135,11
136,0
137,0
138,0
139,0
140,13
141,0
142,6
143,15
144,0
145,9
146,0
147,1
148,0
149,0
150,0
151,0
152,3
153,4
154,0
155,0
156,28
157,1
158,18
159,0
160,0
161,40
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,9
175,15
176,16
177,27
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,1
186,0
187,0
188,0
189,1
190,4
191,15
192,26
193,27
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,2
207,9
208,47
209,1
210,0
211,0
212,0
213,0
214,0
215,1
216,1
217,0
218,0
219,0
220,0
221,0
222,9
223,5
224,11
225,1
226,0
227,11
228,0
229,0
230,2
231,5
232,8
233,0
234,0
235,1
236,0
237,0
238,0
239,25
240,21
241,2
242,0
243,3
244,2
245,1
246,0
247,1
248,9
249,2
250,0
251,0
252,2
253,0
254,16
255,5
256,17
257,9
258,0
259,2
260,0
261,1
262,1
263,4
264,6
265,1
266,0
267,0
268,2
269,0
270,11
271,10
272,2
273,1
274,1
275,27
276,2
277,0
278,1
279,0
280,12
281,2
282,0
283,3
284,9
285,1
286,1
287,2
288,7
289,21
290,1
291,7
292,0
293,0
294,1
295,1
296,1
297,1
298,0
299,0
300,0
301,1
302,13
303,10
304,14
305,11
306,0
307,1
308,0
309,0
310,0
311,8
312,0
313,0
314,0
315,0
316,0
317,1
318,3
319,26
320,13
321,12
322,0
323,0
324,0
325,0
326,0
327,0
328,4
329,2
330,0
331,0
332,6
333,0
334,27
335,0
336,23
337,8
338,0
339,3
340,0
341,0
342,0
343,1
344,2
345,0
346,0
347,0
348,3
349,0
350,9
351,15
352,4
353,4
354,0
355,11
356,0
357,0
358,2
359,7
360,26
361,5
362,0
363,3
364,1
365,0
366,0
367,1
368,27
369,20
370,2
371,0
372,0
373,0
374,0
375,0
376,5
377,2
378,0
379,0
380,3
381,1
382,1
383,3
384,26
385,11
386,0
387,4
388,3
389,0
390,2
391,1
392,2
393,2
394,0
395,1
396,2
397,0
398,4
399,6
400,14
401,8
402,0
403,19
404,1
405,0
406,0
407,0
408,7
409,7
410,0
411,1
412,3
413,0
414,0
415,4
416,20
417,17
418,0
419,4
420,0
421,0
422,0
423,1
424,6
425,0
426,0
427,0
428,0
429,0
430,12
431,4
432,8
433,22
434,0
435,7
436,0
437,0
438,1
439,10
440,3
441,2
442,0
443,1
444,2
445,1
446,2
447,5
448,23
449,7
450,0
451,4
452,0
453,0
454,1
455,2
456,10
457,2
458,0
459,0
460,8
461,0
462,5
463,2
464,7
465,25
466,0
467,4
468,0
469,0
470,0
471,4
472,1
473,0
474,0
475,0
476,1
477,0
478,8
479,14
480,17
481,3
482,0
483,15
484,4
485,0
486,0
487,4
488,10
489,5
490,0
491,3
492,3
493,0
494,0
495,0
496,17
497,2
498,1
499,3
500,2
501,0
502,0
503,0
504,10
505,2
506,0
507,1
508,11
509,1
510,4
511,10
512,11
513,3
514,0
515,4
516,2
517,0
518,2
519,15
520,0
521,1
522,0
523,2
524,0
525,0
526,2
527,22
528,6
529,3
530,0
531,4
532,0
533,0
534,1
535,20
536,1
537,0
538,0
539,0
540,3
541,0
542,7
543,19
544,9
545,6
546,0
547,1
548,0
549,0
550,0
551,18
552,3
553,1
554,0
555,1
556,10
557,1
558,7
559,7
560,2
561,0
562,0
563,3
564,1
565,0
566,1
567,10
568,4
569,0
570,0
571,0
572,14
573,0
574,11
575,18
576,2
577,0
578,0
579,3
580,1
581,1
582,0
583,9
584,7
585,0
586,0
587,1
588,8
589,1
590,11
591,20
592,4
593,11
594,0
595,7
596,0
597,0
598,1
599,12
600,0
601,0
602,0
603,0
604,7
605,0
606,22
607,0
608,8
609,2
610,0
611,13
612,3
613,0
614,0
615,1
616,2
617,2
618,0
619,3
620,23
621,1
622,2
623,4
624,9
625,2
626,1
627,5
628,1
629,0
630,0
631,3
632,2
633,4
634,0
635,0
636,29
637,0
638,4
639,4
640,16
641,7
642,1
643,9
644,0
645,0
646,0
647,2
648,2
649,0
650,0
651,0
