timestamp,frame_id,user_id,user_name,recognized,authorized,distance_user0,distance_user1,best_distance,threshold,template_valid_bits,user_enabled_bits,auth_mode,door_open,lockout,result,image
2026-09-08 17:21:39,3,0,User_A,1,0,1722,2382,1722,4149,11,10,FACE_ONLY,0,0,RECOGNIZED_BUT_PERMISSION_DENIED,captures\match_20260908_172138_910949.png
2026-09-08 17:21:45,4,1,User_B,1,1,2186,1722,1722,4149,11,10,FACE_ONLY,1,0,DOOR_OPEN,captures\match_20260908_172144_711621.png
2026-09-08 17:23:02,5,1,User_B,1,1,2186,1722,1722,4149,11,10,FACE_ONLY,1,0,DOOR_OPEN,captures\match_20260908_172301_730886.png
2026-09-08 17:23:06,6,1,User_B,1,1,2186,1722,1722,4149,11,10,FACE_ONLY,1,0,DOOR_OPEN,captures\match_20260908_172305_877227.png
2026-09-08 17:23:10,7,1,User_B,1,1,2186,1722,1722,4149,11,10,FACE_ONLY,1,0,DOOR_OPEN,captures\match_20260908_172310_130364.png
2026-09-08 17:23:14,8,1,User_B,1,1,2186,1722,1722,4149,11,10,FACE_ONLY,1,0,DOOR_OPEN,captures\match_20260908_172313_803237.png
2026-09-08 17:26:01,1,0,User_A,1,0,1304,1890,1304,4149,11,10,FACE_ONLY,0,0,RECOGNIZED_BUT_PERMISSION_DENIED,captures\match_20260908_172600_594931.png
2026-09-08 17:26:26,2,0,User_A,1,0,1522,2252,1522,4149,11,10,FACE_ONLY,0,0,RECOGNIZED_BUT_PERMISSION_DENIED,captures\match_20260908_172625_938672.png
2026-09-08 17:26:40,3,0,User_A,1,0,1522,2252,1522,4149,11,10,FACE_ONLY,0,1,RECOGNIZED_BUT_PERMISSION_DENIED,captures\match_20260908_172640_233929.png
2026-09-08 17:26:45,4,1,User_B,1,1,2050,1606,1606,4149,11,10,FACE_ONLY,1,0,DOOR_OPEN,captures\match_20260908_172645_022957.png
2026-09-08 17:26:52,5,1,User_B,1,1,2050,1606,1606,4149,11,10,PASSWORD_ONLY,0,0,FACE_OK_IGNORED_IN_PASSWORD_MODE,captures\match_20260908_172651_614350.png
2026-09-08 17:26:57,6,1,User_B,1,1,2050,1606,1606,4149,11,10,PASSWORD_ONLY,0,0,FACE_OK_IGNORED_IN_PASSWORD_MODE,captures\match_20260908_172656_690902.png
2026-09-08 17:26:58,7,1,User_B,1,1,2050,1606,1606,4149,11,10,PASSWORD_ONLY,0,0,FACE_OK_IGNORED_IN_PASSWORD_MODE,captures\match_20260908_172658_146792.png
2026-09-08 17:33:13,2,0,User_A,1,0,0,131071,0,5000,01,00,PASSWORD_ONLY,0,0,RECOGNIZED_BUT_PERMISSION_DENIED,captures\match_20260908_173312_892208.png
2026-09-08 17:33:22,3,0,User_A,1,0,1692,131071,1692,5000,01,00,PASSWORD_ONLY,0,0,RECOGNIZED_BUT_PERMISSION_DENIED,captures\match_20260908_173321_531496.png
2026-09-08 17:39:36,1,0,User_A,1,0,2576,131071,2576,5000,01,00,FACE_ONLY,0,0,RECOGNIZED_BUT_PERMISSION_DENIED,captures\match_20260908_173935_654653.png
2026-09-08 17:39:41,2,0,User_A,1,0,1768,131071,1768,5000,01,00,FACE_ONLY,0,0,RECOGNIZED_BUT_PERMISSION_DENIED,captures\match_20260908_173940_530656.png
2026-09-08 17:39:47,4,0,User_A,1,0,1000,131071,1000,5000,01,00,FACE_ONLY,0,1,RECOGNIZED_BUT_PERMISSION_DENIED,captures\match_20260908_173946_792239.png
2026-09-08 17:39:56,6,0,User_A,1,0,0,131071,0,5000,01,00,FACE_ONLY,0,0,RECOGNIZED_BUT_PERMISSION_DENIED,captures\match_20260908_173955_889531.png
2026-09-08 17:40:05,7,0,User_A,1,0,1610,131071,1610,5000,01,00,FACE_ONLY,0,0,RECOGNIZED_BUT_PERMISSION_DENIED,captures\match_20260908_174004_732985.png
2026-09-08 17:40:12,8,0,User_A,1,0,1610,131071,1610,4149,01,00,FACE_ONLY,0,1,RECOGNIZED_BUT_PERMISSION_DENIED,captures\match_20260908_174012_002143.png
2026-09-08 17:40:51,10,0,User_A,1,0,1138,131071,1138,4149,01,00,FACE_ONLY,0,0,RECOGNIZED_BUT_PERMISSION_DENIED,captures\match_20260908_174050_524307.png
2026-09-08 17:40:58,11,0,User_A,1,0,1138,131071,1138,4149,01,00,FACE_ONLY,0,0,RECOGNIZED_BUT_PERMISSION_DENIED,captures\match_20260908_174057_929124.png
2026-09-08 17:41:17,13,0,User_A,1,0,0,131071,0,4149,01,00,FACE_ONLY,0,1,RECOGNIZED_BUT_PERMISSION_DENIED,captures\match_20260908_174116_978255.png
2026-09-08 17:41:49,16,0,User_A,1,1,1118,1118,1118,5000,11,11,PASSWORD_ONLY,0,0,FACE_OK_IGNORED_IN_PASSWORD_MODE,captures\match_20260908_174148_610092.png
2026-09-08 17:41:59,17,0,User_A,1,1,1118,1118,1118,5000,11,11,PASSWORD_ONLY,0,0,FACE_OK_IGNORED_IN_PASSWORD_MODE,captures\match_20260908_174158_545309.png
2026-09-08 17:42:08,18,0,User_A,1,1,1118,1118,1118,4149,11,11,FACE_ONLY,1,0,DOOR_OPEN,captures\match_20260908_174207_602114.png
2026-09-08 17:42:11,19,0,User_A,1,1,1118,1118,1118,4149,11,11,FACE_ONLY,1,0,DOOR_OPEN,captures\match_20260908_174210_964065.png
2026-09-08 17:42:14,20,0,User_A,1,1,1118,1118,1118,4149,11,11,FACE_ONLY,1,0,DOOR_OPEN,captures\match_20260908_174213_338545.png
2026-09-08 17:42:20,21,0,User_A,1,0,1118,1118,1118,4149,11,10,FACE_ONLY,0,0,RECOGNIZED_BUT_PERMISSION_DENIED,captures\match_20260908_174220_235700.png
2026-09-08 17:56:10,22,0,User_A,1,1,1118,1118,1118,4149,11,11,FACE_ONLY,1,0,DOOR_OPEN,captures\match_20260908_175609_569650.png
2026-09-08 17:57:52,1,0,User_A,1,1,2632,2632,2632,4149,11,11,FACE_ONLY,1,0,DOOR_OPEN,captures\match_20260908_175751_450100.png
2026-09-08 17:57:55,2,0,User_A,1,1,2652,2652,2652,4149,11,11,FACE_ONLY,1,0,DOOR_OPEN,captures\auto_match_20260908_175754_826043.png
2026-09-08 17:58:00,3,0,User_A,1,1,2894,2894,2894,4149,11,11,FACE_ONLY,1,0,DOOR_OPEN,captures\auto_match_20260908_175759_859149.png
2026-09-08 17:58:05,4,0,User_A,1,1,2680,2680,2680,4149,11,11,FACE_ONLY,1,0,DOOR_OPEN,captures\auto_match_20260908_175804_881322.png
2026-09-08 17:58:15,5,0,User_A,1,1,3394,3394,3394,4149,11,11,FACE_ONLY,1,0,DOOR_OPEN,captures\auto_match_20260908_175815_056848.png
2026-09-08 17:58:23,6,0,User_A,1,1,3810,3810,3810,4149,11,11,FACE_ONLY,1,0,DOOR_OPEN,captures\auto_match_20260908_175823_061169.png
2026-09-08 17:58:34,7,0,User_A,1,1,3444,3444,3444,4149,11,11,FACE_ONLY,1,0,DOOR_OPEN,captures\auto_match_20260908_175834_036273.png
2026-09-08 17:58:46,8,,UNKNOWN,0,0,3748,3748,3748,3000,11,11,FACE_ONLY,0,0,UNKNOWN,captures\auto_match_20260908_175846_192114.png
2026-09-08 17:58:51,9,0,User_A,1,1,2690,2690,2690,3000,11,11,FACE_ONLY,1,0,DOOR_OPEN,captures\auto_match_20260908_175851_224532.png
2026-09-08 17:58:56,10,,UNKNOWN,0,0,3476,3476,3476,3000,11,11,FACE_ONLY,0,0,UNKNOWN,captures\auto_match_20260908_175856_234551.png
2026-09-08 17:59:31,11,,UNKNOWN,0,0,3476,3476,3476,3000,11,11,FACE_AND_PASSWORD,0,0,UNKNOWN,captures\match_20260908_175930_537164.png
2026-09-08 17:59:38,12,0,User_A,1,1,2502,2502,2502,3000,11,11,FACE_AND_PASSWORD,0,0,FACE_OK_WAITING_SECOND_FACTOR,captures\match_20260908_175937_920138.png
2026-09-08 18:07:11,3,0,User_A,1,1,1596,1596,1596,4000,11,11,FACE_ONLY,1,0,DOOR_OPEN,captures\match_20260908_180710_875080.png
2026-09-08 18:07:15,4,0,User_A,1,1,1596,1596,1596,4000,11,11,FACE_ONLY,1,0,DOOR_OPEN,captures\match_20260908_180714_367712.png
2026-09-08 18:07:31,7,0,User_A,1,1,1596,1596,1596,4000,11,11,FACE_ONLY,1,0,DOOR_OPEN,captures\match_20260908_180731_182008.png
2026-09-08 18:07:50,8,0,User_A,1,1,1596,1596,1596,3000,11,11,FACE_ONLY,1,0,DOOR_OPEN,captures\match_20260908_180749_666744.png
2026-09-08 18:09:23,3,0,User_A,1,1,1770,1770,1770,4000,11,11,FACE_ONLY,1,0,DOOR_OPEN,captures\match_20260908_180922_949914.png
2026-09-09 15:26:01,4,0,01,1,1,,,1430,4000,00000001,00000001,PASSWORD_ONLY,0,0,FACE_OK_IGNORED_IN_PASSWORD_MODE,captures\match_20260909_152601_135295.png
2026-09-09 15:26:12,5,0,01,1,1,,,1430,4000,00000001,00000001,PASSWORD_ONLY,0,0,FACE_OK_IGNORED_IN_PASSWORD_MODE,captures\match_20260909_152611_591852.png
2026-09-09 15:26:13,6,0,01,1,1,,,1430,4000,00000001,00000001,PASSWORD_ONLY,0,0,FACE_OK_IGNORED_IN_PASSWORD_MODE,captures\match_20260909_152613_240275.png
2026-09-09 15:26:15,7,0,01,1,1,,,1430,4000,00000001,00000001,PASSWORD_ONLY,0,0,FACE_OK_IGNORED_IN_PASSWORD_MODE,captures\match_20260909_152614_481758.png
2026-09-09 15:26:18,8,0,01,1,1,,,1478,4000,00000001,00000001,FACE_ONLY,1,0,DOOR_OPEN,captures\auto_match_20260909_152617_557860.png
2026-09-09 15:26:28,9,0,01,1,1,,,1478,4000,00000001,00000001,FACE_ONLY,1,0,DOOR_OPEN,captures\match_20260909_152628_313689.png
2026-09-09 15:26:35,10,0,01,1,1,,,1582,4000,00000001,00000001,FACE_ONLY,1,0,DOOR_OPEN,captures\auto_match_20260909_152634_589225.png
2026-09-09 15:26:41,11,0,01,1,1,,,1792,4000,00000001,00000001,FACE_ONLY,1,0,DOOR_OPEN,captures\auto_match_20260909_152640_431653.png
2026-09-09 15:26:48,12,0,01,1,1,,,1816,4000,00000001,00000001,FACE_ONLY,1,0,DOOR_OPEN,captures\auto_match_20260909_152647_807424.png
2026-09-09 15:26:53,13,0,01,1,1,,,1782,4000,00000001,00000001,FACE_ONLY,1,0,DOOR_OPEN,captures\auto_match_20260909_152652_338856.png
2026-09-09 15:26:59,14,0,01,1,1,,,1898,3500,00000001,00000001,FACE_ONLY,1,0,DOOR_OPEN,captures\auto_match_20260909_152658_452228.png
2026-09-09 15:27:05,15,0,01,1,1,,,2102,3500,00000001,00000001,FACE_ONLY,1,0,DOOR_OPEN,captures\auto_match_20260909_152704_866771.png
2026-09-09 15:27:12,16,0,01,1,1,,,1468,3000,00000001,00000001,FACE_ONLY,1,0,DOOR_OPEN,captures\auto_match_20260909_152711_875440.png
2026-09-10 13:59:18,2,0,01,1,1,,,1498,5000,00000001,00000001,PASSWORD_ONLY,0,0,FACE_OK_IGNORED_IN_PASSWORD_MODE,captures\match_20260910_135917_757945.png
2026-09-10 13:59:34,3,0,01,1,1,,,1498,3000,00000001,00000001,FACE_ONLY,1,0,DOOR_OPEN,captures\match_20260910_135933_626767.png
2026-09-10 13:59:41,4,0,01,1,1,,,1848,3000,00000001,00000001,FACE_ONLY,1,0,DOOR_OPEN,captures\auto_match_20260910_135940_401587.png
2026-09-10 13:59:49,5,0,01,1,1,,,1848,3000,00000001,00000001,FACE_ONLY,1,0,DOOR_OPEN,captures\match_20260910_135948_639051.png
2026-09-10 13:59:55,6,0,01,1,1,,,1848,3000,00000001,00000001,FACE_AND_PASSWORD,0,0,FACE_OK_WAITING_SECOND_FACTOR,captures\match_20260910_135954_510570.png
2026-09-10 14:00:23,8,0,01,1,0,,,1848,3000,00000001,00000000,FACE_AND_PASSWORD,0,0,RECOGNIZED_BUT_PERMISSION_DENIED,captures\match_20260910_140022_363452.png
2026-09-10 16:52:07,3,0,01,1,1,,,1292,3000,00000001,00000011,FACE_ONLY,1,0,DOOR_OPEN,captures\match_20260910_165207_304580.png
2026-09-10 16:52:16,4,0,01,1,1,,,2000,3000,00000001,00000011,FACE_ONLY,1,0,DOOR_OPEN,captures\match_20260910_165215_895287.png
2026-09-10 16:52:29,5,0,01,1,1,,,1932,2000,00000001,00000011,FACE_ONLY,1,0,DOOR_OPEN,captures\match_20260910_165228_878218.png
2026-09-10 16:52:34,6,,UNKNOWN,0,0,,,2112,2000,00000001,00000011,FACE_ONLY,1,0,UNKNOWN,captures\match_20260910_165233_447168.png
2026-09-10 16:52:52,8,1,2,1,1,,,1948,2000,00000011,00000011,FACE_ONLY,1,0,DOOR_OPEN,captures\match_20260910_165251_918234.png
2026-09-10 16:53:10,9,,UNKNOWN,0,0,,,2040,2000,00000010,00000010,FACE_ONLY,0,0,UNKNOWN,captures\match_20260910_165309_597975.png
2026-09-10 16:53:13,10,,UNKNOWN,0,0,,,2088,2000,00000010,00000010,FACE_ONLY,0,0,UNKNOWN,captures\auto_match_20260910_165312_512069.png
2026-09-10 16:53:17,11,1,2,1,1,,,1940,2000,00000010,00000010,FACE_ONLY,1,0,DOOR_OPEN,captures\auto_match_20260910_165317_048491.png
2026-09-10 16:53:27,12,,UNKNOWN,0,0,,,2156,2000,00000010,00000010,FACE_ONLY,0,0,UNKNOWN,captures\auto_match_20260910_165326_741514.png
2026-09-10 16:53:31,13,,UNKNOWN,0,0,,,2154,2000,00000010,00000010,FACE_ONLY,0,0,UNKNOWN,captures\auto_match_20260910_165331_251202.png
2026-09-10 16:53:49,14,,UNKNOWN,0,0,,,2022,2000,00000010,00000010,FACE_ONLY,0,1,UNKNOWN,captures\auto_match_20260910_165349_264029.png
2026-09-10 17:04:27,2,,UNKNOWN,0,0,,,2040,2000,00000010,00000010,FACE_ONLY,0,0,UNKNOWN,captures\auto_match_20260910_170427_133207.png
2026-09-10 17:04:33,3,,UNKNOWN,0,0,,,2074,2000,00000010,00000010,FACE_ONLY,0,0,UNKNOWN,captures\auto_match_20260910_170432_964878.png
2026-09-10 17:04:39,4,,UNKNOWN,0,0,,,2096,2000,00000010,00000010,FACE_ONLY,0,1,UNKNOWN,captures\auto_match_20260910_170439_205527.png
2026-09-10 17:04:43,5,,UNKNOWN,0,0,,,2292,2000,00000010,00000010,FACE_ONLY,0,0,UNKNOWN,captures\auto_match_20260910_170443_214174.png
2026-09-10 17:08:15,3,1,2,1,1,,,1326,2000,00000010,00000010,FACE_ONLY,1,0,DOOR_OPEN,captures\auto_match_20260910_170815_307321.png
2026-09-10 17:08:20,4,1,2,1,1,,,1356,2000,00000010,00000010,FACE_ONLY,1,0,DOOR_OPEN,captures\auto_match_20260910_170819_324199.png
2026-09-10 17:08:25,5,1,2,1,1,,,1242,2000,00000010,00000010,FACE_ONLY,1,0,DOOR_OPEN,captures\match_20260910_170825_302072.png
2026-09-10 17:09:13,7,1,2,1,1,,,1242,2000,00000010,00000010,FACE_ONLY,1,0,DOOR_OPEN,captures\match_20260910_170912_486132.png
2026-09-10 17:09:21,8,1,2,1,1,,,1242,2000,00000010,00000010,FACE_AND_PASSWORD,0,0,FACE_OK_WAITING_SECOND_FACTOR,captures\match_20260910_170920_986728.png
2026-09-10 17:09:31,9,1,2,1,1,,,1242,2000,00000010,00000010,FACE_AND_PASSWORD,1,0,DOOR_OPEN,captures\match_20260910_170930_910406.png
2026-09-11 08:36:10,3,0,3,1,1,,,1274,2000,00000011,00000011,FACE_ONLY,1,0,DOOR_OPEN,captures\match_20260911_083610_062632.png
2026-09-11 08:36:20,4,,UNKNOWN,0,0,,,2002,2000,00000011,00000011,FACE_ONLY,0,0,UNKNOWN,captures\match_20260911_083620_296670.png
2026-09-11 08:36:29,5,1,2,1,1,,,1944,2000,00000011,00000011,FACE_ONLY,1,0,DOOR_OPEN,captures\match_20260911_083629_029519.png
2026-09-11 08:41:01,3,0,gggg,1,1,,,1696,2500,00000011,00000011,FACE_ONLY,1,0,DOOR_OPEN,captures\auto_match_20260911_084100_314804.png
2026-09-11 08:41:05,4,1,hhhh,1,1,,,1962,2500,00000011,00000011,FACE_ONLY,1,0,DOOR_OPEN,captures\auto_match_20260911_084105_176622.png
2026-09-11 08:41:10,5,0,gggg,1,1,,,1622,2500,00000011,00000011,FACE_ONLY,1,0,DOOR_OPEN,captures\auto_match_20260911_084109_891697.png
2026-09-11 08:44:06,3,0,gggg,1,1,,,1556,2500,00000011,00000011,FACE_ONLY,1,0,DOOR_OPEN,captures\auto_match_20260911_084405_606807.png
2026-09-11 08:44:11,4,0,gggg,1,1,,,1838,2500,00000011,00000011,FACE_ONLY,1,0,DOOR_OPEN,captures\auto_match_20260911_084411_173012.png
2026-09-11 08:59:50,1,0,gggg,1,1,,,1488,2500,00000011,00000011,PASSWORD_ONLY,0,0,FACE_OK_IGNORED_IN_PASSWORD_MODE,captures\match_20260911_085950_247633.png
2026-09-11 08:59:57,2,0,gggg,1,1,,,1548,2500,00000011,00000011,FACE_ONLY,1,0,DOOR_OPEN,captures\auto_match_20260911_085956_699437.png
2026-09-11 09:00:08,3,1,hhhh,1,1,,,2032,2500,00000011,00000011,FACE_ONLY,1,0,DOOR_OPEN,captures\match_20260911_090007_731296.png
2026-09-11 09:00:20,4,0,gggg,1,1,,,1438,2500,00000011,00000011,FACE_AND_PASSWORD,0,0,FACE_OK_WAITING_SECOND_FACTOR,captures\auto_match_20260911_090019_710596.png
2026-09-11 09:00:24,5,0,gggg,1,1,,,1438,2500,00000011,00000011,FACE_AND_PASSWORD,0,0,FACE_OK_WAITING_SECOND_FACTOR,captures\match_20260911_090024_165450.png
2026-09-11 09:00:46,8,0,gggg,1,1,,,1654,2500,00000011,00000011,FACE_AND_PASSWORD,0,0,FACE_OK_WAITING_SECOND_FACTOR,captures\auto_match_20260911_090045_641817.png
